epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.22967083752155304,0.0005000000237487257,2.2869374752044678,0.25968751311302185,2.0707147121429443
1,0.234375,0.0005000000237487257,2.2476677894592285,0.25968751311302185,2.071746349334717
epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.23834626376628876,0.0005000000237487257,2.3016340732574463,0.25968751311302185,2.0666399002075195
1,0.171875,0.0005000000237487257,2.3115575313568115,0.25968751311302185,2.0658016204833984
2,0.2544518709182739,0.0005000000237487257,2.1603550910949707,0.2867187559604645,2.004141092300415
3,0.359375,0.0005000000237487257,2.0937442779541016,0.28718748688697815,2.004889488220215
2,0.2583122253417969,0.0005000000237487257,2.1596662998199463,0.31343749165534973,1.9637503623962402
3,0.34375,0.0005000000237487257,2.087891101837158,0.3148437440395355,1.9632158279418945
4,0.30339130759239197,0.0005000000237487257,2.0587193965911865,0.3265624940395355,1.923769474029541
4,0.2897762656211853,0.0005000000237487257,2.0753254890441895,0.3167187571525574,1.94804048538208
5,0.359375,0.0005000000237487257,2.02976655960083,0.32359373569488525,1.9355655908584595
5,0.359375,0.0005000000237487257,2.1590399742126465,0.3270312547683716,1.9317806959152222
6,0.35976091027259827,0.0005000000237487257,1.926419734954834,0.3343749940395355,1.9907852411270142
6,0.37196463346481323,0.0005000000237487257,1.9048733711242676,0.4451562464237213,1.7213727235794067
7,0.296875,0.0005000000237487257,1.8986847400665283,0.34687501192092896,1.9497233629226685
7,0.46875,0.0005000000237487257,1.584466576576233,0.45109376311302185,1.7127485275268555
8,0.4422398507595062,0.0005000000237487257,1.7301102876663208,0.4401562511920929,1.7633695602416992
8,0.4260927438735962,0.0005000000237487257,1.7543810606002808,0.4742187559604645,1.6131149530410767
9,0.59375,0.0005000000237487257,1.5483864545822144,0.4325000047683716,1.769069790840149
9,0.390625,0.0005000000237487257,1.749971628189087,0.48374998569488525,1.6154625415802002
